n_requests,mean_rt,std_rt,p95_rt,p99_rt,throughput,error_rate,file
14432,330.39,307.9,789.06,1905.28,24.05,78.859,failure_docker_run1
14413,330.39,238.81,658.97,1404.75,24.02,76.077,failure_docker_run2
14405,332.89,250.03,656.21,1685.77,24.01,74.96,failure_docker_run3
13298,442.88,365.0,1238.77,2000.71,22.16,0.955,failure_k8s_hpa_run1
12653,534.33,740.21,1426.01,4765.33,21.09,1.976,failure_k8s_hpa_run2
11227,710.52,1076.47,2046.53,7351.57,18.71,2.779,failure_k8s_hpa_run3
14014,370.78,195.93,587.84,1071.67,23.36,0.614,failure_k8s_nohpa_run1
13742,395.9,345.09,692.76,2180.76,22.9,0.335,failure_k8s_nohpa_run2
13042,471.95,744.22,1001.39,3077.91,21.74,0.368,failure_k8s_nohpa_run3
31244,922.5,254.03,1271.27,2327.7,52.07,0.0,docker_100vu_run1
27054,1222.26,970.46,2945.87,6027.94,45.09,0.0,docker_100vu_run2
30345,976.68,430.14,1797.26,2686.75,50.58,0.0,docker_100vu_run3
5092,175.77,246.98,481.29,1438.57,8.49,0.0,docker_10vu_run1
5112,170.52,289.98,327.77,1696.34,8.52,0.0,docker_10vu_run2
4702,270.58,402.52,1376.63,1944.74,7.84,0.0,docker_10vu_run3
15128,982.66,826.18,2252.73,5457.24,25.21,0.0,docker_50vu_run1
18084,658.29,605.09,1770.9,3653.84,30.14,0.0,docker_50vu_run2
21421,399.98,154.22,589.26,1284.08,35.7,0.0,docker_50vu_run3
29800,1010.55,665.1,1953.72,4351.16,49.67,0.5,k8s_hpa_100vu_run1
33630,787.05,205.31,1228.14,1482.72,56.05,0.0,k8s_hpa_100vu_run2
33232,808.51,202.34,1218.33,1566.24,55.39,0.0,k8s_hpa_100vu_run3
5321,127.72,129.74,187.91,414.56,8.87,0.0,k8s_hpa_10vu_run1
5163,161.6,175.1,358.53,922.46,8.61,0.0,k8s_hpa_10vu_run2
5194,154.71,149.9,414.18,801.67,8.66,0.0,k8s_hpa_10vu_run3
20817,441.18,211.35,833.71,1211.16,34.7,0.0,k8s_hpa_50vu_run1
21167,417.81,204.36,619.3,978.54,35.28,0.0,k8s_hpa_50vu_run2
21417,401.88,148.62,649.97,968.82,35.7,0.0,k8s_hpa_50vu_run3
36255,654.7,185.9,952.16,1497.15,60.42,0.0,k8s_nohpa_100vu_run1
35117,711.23,286.32,1251.86,2121.39,58.53,0.0,k8s_nohpa_100vu_run2
33487,790.35,471.48,1387.88,2865.41,55.81,0.0,k8s_nohpa_100vu_run3
5330,125.14,124.12,162.3,248.7,8.88,0.0,k8s_nohpa_10vu_run1
5370,117.58,27.91,159.79,246.46,8.95,0.0,k8s_nohpa_10vu_run2
5370,118.51,39.77,170.66,262.97,8.95,0.0,k8s_nohpa_10vu_run3
20005,499.92,229.04,688.38,1326.12,33.34,0.0,k8s_nohpa_50vu_run1
20138,490.24,149.83,712.01,1240.19,33.56,0.0,k8s_nohpa_50vu_run2
19513,534.28,264.15,877.45,1883.25,32.52,0.0,k8s_nohpa_50vu_run3
9291,3111.01,7847.81,19174.49,46349.71,15.48,2.045,spike_docker_run1
19117,997.25,613.96,1821.64,2433.78,31.86,0.0,spike_docker_run2
18127,1107.07,675.69,1987.86,2901.82,30.21,0.0,spike_docker_run3
18224,1095.79,732.58,2305.15,2992.42,30.37,0.883,spike_k8s_hpa_run1
19880,920.76,510.88,1514.01,2170.38,33.13,0.0,spike_k8s_hpa_run2
18207,1098.02,667.18,2195.39,2634.09,30.34,1.077,spike_k8s_hpa_run3
19931,917.19,745.34,1441.37,4953.37,33.22,0.0,spike_k8s_nohpa_run1
16187,1359.65,1017.43,2672.99,5824.26,26.98,0.0,spike_k8s_nohpa_run2
16407,1328.05,1028.31,3129.65,4138.83,27.34,0.0,spike_k8s_nohpa_run3
